template_id,template_name_ko,base_risk_ids,account_cycle,fact_pattern,variable_slots,possible_assertions,required_information,allowed_procedure_relations,prohibited_combinations,source_level,review_status
TPL001,기말 매출 집중과 검수조건,RISK001|RISK005,revenue,결산일 직전 매출이 집중되었고 일부 계약에는 고객 검수조건이 포함되어 있습니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL002,매출 급증과 신규 거래처,RISK002|RISK004,revenue,전년 대비 매출이 급증했으며 신규 거래처의 대규모 거래가 포함되어 있습니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL003,거래처 집중과 외부조회,RISK003|RISK004,revenue,특정 거래처 매출 비중이 높고 신규 거래처 관련 증빙이 제한적입니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL004,반품권과 기말 후 대변전표,RISK006|RISK001,revenue,반품권이 있는 거래에서 기말 후 대변전표가 증가했습니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL005,수기전표와 매출 급증,RISK007|RISK002,revenue,수기 매출전표가 증가했고 월말 매출 증가가 두드러집니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL006,장기 미회수 채권,RISK008,accounts_receivable,장기 미회수 매출채권이 증가했고 후속 현금회수가 부진합니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL007,특수관계자 매출,RISK009,revenue,특수관계자와의 매출 거래가 발생했고 조건의 통상성이 불명확합니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL008,마진 변동과 컷오프,RISK010|RISK001,revenue,기말 매출 증가와 함께 매출총이익률이 과거 추세와 다르게 변동했습니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL009,검수조건과 후속 반품,RISK005|RISK006,revenue,검수조건과 반품권이 함께 존재하며 기말 후 반품 내역이 관찰됩니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL010,신규 거래처와 회수 지연,RISK004|RISK008,accounts_receivable,신규 거래처 매출채권의 후속 회수가 지연되고 있습니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL011,기말 매출 집중과 검수조건,RISK001|RISK005,revenue,결산일 직전 매출이 집중되었고 일부 계약에는 고객 검수조건이 포함되어 있습니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL012,매출 급증과 신규 거래처,RISK002|RISK004,revenue,전년 대비 매출이 급증했으며 신규 거래처의 대규모 거래가 포함되어 있습니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL013,거래처 집중과 외부조회,RISK003|RISK004,revenue,특정 거래처 매출 비중이 높고 신규 거래처 관련 증빙이 제한적입니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL014,반품권과 기말 후 대변전표,RISK006|RISK001,revenue,반품권이 있는 거래에서 기말 후 대변전표가 증가했습니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL015,수기전표와 매출 급증,RISK007|RISK002,revenue,수기 매출전표가 증가했고 월말 매출 증가가 두드러집니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL016,장기 미회수 채권,RISK008,accounts_receivable,장기 미회수 매출채권이 증가했고 후속 현금회수가 부진합니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL017,특수관계자 매출,RISK009,revenue,특수관계자와의 매출 거래가 발생했고 조건의 통상성이 불명확합니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL018,마진 변동과 컷오프,RISK010|RISK001,revenue,기말 매출 증가와 함께 매출총이익률이 과거 추세와 다르게 변동했습니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL019,검수조건과 후속 반품,RISK005|RISK006,revenue,검수조건과 반품권이 함께 존재하며 기말 후 반품 내역이 관찰됩니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
TPL020,신규 거래처와 회수 지연,RISK004|RISK008,accounts_receivable,신규 거래처 매출채권의 후속 회수가 지연되고 있습니다.,period|customer_type|evidence_availability|contract_terms,occurrence|accuracy|cutoff|existence|valuation|presentation,cutoff_evidence|contract_terms|cash_collection,core|supporting|conditional|weak_match|not_applicable,,educational_inference,ai_generated_unreviewed
